,Movie,Year,Time,IMDB Rating,Film Rating,Metascore,Votes,US Gross Millions,Director,Genres,Description,Actors
173,Raging Bull,1980,129,8.2,R,89        ,318676,23.38,Martin Scorsese,"Biography, Drama, Sport","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent"
484,The Irishman,2019,209,7.9,R,94        ,315879,7.00,Martin Scorsese,"Biography, Crime, Drama","An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.","Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel"
684,The King of Comedy,1982,109,7.8,PG,73        ,86772,2.50,Martin Scorsese,"Comedy, Crime, Drama","Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.","Robert De Niro, Jerry Lewis, Diahnne Abbott, Sandra Bernhard"
832,After Hours,1985,97,7.7,R,90        ,58409,10.60,Martin Scorsese,"Comedy, Crime, Drama",An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,"Griffin Dunne, Rosanna Arquette, Verna Bloom, Tommy Chong"
73,The Shining,1980,146,8.4,R,66        ,887992,44.02,Stanley Kubrick,"Drama, Horror","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers"
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,PG,97        ,446540,0.28,Stanley Kubrick,Comedy,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn"
80,Paths of Glory,1957,88,8.4,Approved,90        ,176022,-,Stanley Kubrick,"Drama, War","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready"
106,Full Metal Jacket,1987,116,8.3,R,76        ,668414,46.36,Stanley Kubrick,"Drama, War",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin"
115,A Clockwork Orange,1971,136,8.3,R,77        ,750972,6.21,Stanley Kubrick,"Crime, Drama, Sci-Fi","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke"
116,2001: A Space Odyssey,1968,149,8.3,G,84        ,597226,56.95,Stanley Kubrick,"Adventure, Sci-Fi","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.","Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter"
